t(s),Average T volume 1,Flux surface 1: solute,Flux surface 2: solute,Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1,Total 5 volume 1,Total 6 volume 1
46.39352341591619,369.9999999999995,-5.409777657725611e+19,-1.771893503109213e-210,2748801034045740.5,2.804926422123302e+19,2773657306562541.5,8.552693137906323e+18,6.492600817210071e+18,5.164575391127587e+18,5.802868456776198e+18,2.0310039598722312e+18
48.204885000019544,369.9999999999995,-5.410382002659667e+19,-2.165482094520577e-210,2804432510581029.0,2.859238981404132e+19,2827389348081071.0,8.717288863230927e+18,6.617548943245349e+18,5.263966070380948e+18,5.917003048388791e+18,2.0709510669366497e+18
50.052473815804966,369.9999999999995,-5.410954070869138e+19,-2.851604859841846e-210,2858911185574854.5,2.9135807722048668e+19,2880419248368158.0,8.88247295311553e+18,6.742976741781661e+18,5.363738357764614e+18,6.030281732557283e+18,2.110598606395635e+18
51.9370144079061,369.9999999999995,-5.411478846589977e+19,-3.8877163616873563e-210,2910996443277520.0,2.968020371922066e+19,2933197968858200.5,9.04773983820721e+18,6.868468418461237e+18,5.463561458763056e+18,6.14414059953809e+18,2.150449209838933e+18
53.85924581184925,369.9999999999995,-5.4120052292333126e+19,-8.819381260351118e-210,2965373888656557.5,3.0225368751192457e+19,2986944556799739.5,9.212833106760428e+18,6.993794740326147e+18,5.563252976663611e+18,6.25891526592311e+18,2.1906203430737027e+18
55.81992184387126,369.9999999999995,-5.412530171936274e+19,-1.854486360196754e-209,3021356731864468.0,3.0771144124544057e+19,3040712789926997.5,9.378505996724625e+18,7.119576202428169e+18,5.663306561459079e+18,6.373106144007228e+18,2.2305871504031565e+18
57.81981139653372,369.9999999999995,-5.413011794869279e+19,-3.656280056252722e-209,3074551175897776.0,3.131820259900177e+19,3093699165745191.5,9.544797148272568e+18,7.245856218812582e+18,5.76375676810344e+18,6.487129047015477e+18,2.2704951664560594e+18
59.85969874024943,369.9999999999995,-5.4134734932708925e+19,-7.224175508987401e-209,3127641652846860.5,3.186678368506336e+19,3147269674739842.0,9.711055871352474e+18,7.372084042907155e+18,5.864165416276571e+18,6.602372920888087e+18,2.3108305223114895e+18
61.94038383083945,369.9999999999995,-5.413946413935206e+19,-1.4856409011085791e-208,3183865093605084.5,3.241649601700706e+19,3201682229736037.5,9.877655006211684e+18,7.498553968007026e+18,5.964766620560938e+18,6.717877685113624e+18,2.35125718979044e+18
64.06268262324127,369.9999999999995,-5.41439703694538e+19,-2.787951469002229e-208,3239084108289674.0,3.2967638683152916e+19,3255437970042268.0,1.0045183975199676e+19,7.625767479181978e+18,6.065959371645971e+18,6.8327654333676e+18,2.3914679016793467e+18
66.22742739149113,369.9999999999995,-5.4148133606287245e+19,-4.696560459785229e-208,3292023000636444.0,3.3520791548262703e+19,3309015230659768.0,1.021308885104097e+19,7.75326630676643e+18,6.167379078971756e+18,6.948486128334489e+18,2.431970144917771e+18
68.43546705510599,369.9999999999995,-5.415233925355286e+19,-7.136797522487029e-208,3347446630562268.5,3.4075720958552957e+19,3363756426415251.0,1.038115138442153e+19,7.880847180275324e+18,6.26886399330938e+18,7.065294220362248e+18,2.472852977127501e+18
70.68766751199314,369.9999999999995,-5.415653789206302e+19,-1.0881522497378824e-207,3404388322206233.5,3.463229253516815e+19,3418545818366034.5,1.0550138603351585e+19,8.009150563915355e+18,6.370923663676636e+18,7.18167168154317e+18,2.5135850885408364e+18
72.98491197801803,369.9999999999995,-5.416040499029946e+19,-1.564981165396846e-207,3458548274291574.0,3.5191111653862425e+19,3472595652498163.5,1.0719967355804822e+19,8.138122272809385e+18,6.47351500155016e+18,7.298204355385578e+18,2.5543715243856963e+18
