t(s),Average T volume 1,Flux surface 1: solute,Flux surface 2: solute,Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1,Total 5 volume 1,Total 6 volume 1
293255.25780502154,294.9999999999073,-25454841721790.625,-16259011692.823414,1.1923274361585312e+19,2.756019134185354e+19,1.5636916980268032e+19,0.0,0.0,0.0,0.0,0.0
293305.25780502154,294.9999999999073,-25426920596141.383,-16259084852.90837,1.1921933008229466e+19,2.755891918283766e+19,1.5636986174608572e+19,0.0,0.0,0.0,0.0,0.0
293355.25780502154,294.9999999999073,-25399098660121.45,-16259157988.076195,1.1920593036986755e+19,2.755764841491513e+19,1.5637055377928507e+19,0.0,0.0,0.0,0.0,0.0
293405.25780502154,294.9999999999073,-25371375237699.387,-16259231098.36274,1.191925444296164e+19,2.755637903316034e+19,1.5637124590198927e+19,0.0,0.0,0.0,0.0,0.0
293455.25780502154,294.9999999999073,-25343749660008.258,-16259304183.803772,1.1917917221289923e+19,2.755511103268159e+19,1.5637193811391273e+19,0.0,0.0,0.0,0.0,0.0
293505.25780502154,294.9999999999073,-25316221265240.18,-16259377244.434969,1.1916581367142232e+19,2.7553844408617603e+19,1.5637263041475654e+19,0.0,0.0,0.0,0.0,0.0
293555.25780502154,294.9999999999073,-25288789398542.934,-16259450280.291971,1.1915246875720436e+19,2.755257915614459e+19,1.5637332280423922e+19,0.0,0.0,0.0,0.0,0.0
293605.25780502154,294.9999999999073,-25261453411918.582,-16259523291.410328,1.191391374225931e+19,2.755131527046695e+19,1.5637401528207833e+19,0.0,0.0,0.0,0.0,0.0
293655.25780502154,294.9999999999073,-25234212664123.81,-16259596277.825516,1.19125819620254e+19,2.755005274682298e+19,1.5637470784797766e+19,0.0,0.0,0.0,0.0,0.0
293705.25780502154,294.9999999999073,-25207066520572.367,-16259669239.572958,1.1911251530317357e+19,2.754879158048319e+19,1.563754005016612e+19,0.0,0.0,0.0,0.0,0.0
293755.25780502154,294.9999999999073,-25180014353239.188,-16259742176.687992,1.1909922442463896e+19,2.754753176674726e+19,1.563760932428402e+19,0.0,0.0,0.0,0.0,0.0
293805.25780502154,294.9999999999073,-25153055540566.28,-16259815089.205902,1.1908594693826613e+19,2.7546273300949668e+19,1.5637678607123286e+19,0.0,0.0,0.0,0.0,0.0
293855.25780502154,294.9999999999073,-25126189467370.508,-16259887977.161877,1.1907268279796156e+19,2.754501617845222e+19,1.563774789865573e+19,0.0,0.0,0.0,0.0,0.0
293905.25780502154,294.9999999999073,-25099415524752.883,-16259960840.591064,1.1905943195794078e+19,2.754376039464727e+19,1.5637817198853493e+19,0.0,0.0,0.0,0.0,0.0
293955.25780502154,294.9999999999073,-25072733110009.68,-16260033679.528532,1.1904619437271753e+19,2.7542505944960393e+19,1.5637886507688563e+19,0.0,0.0,0.0,0.0,0.0
294005.25780502154,294.9999999999073,-25046141626545.074,-16260106494.00926,1.1903296999710771e+19,2.7541252824843465e+19,1.5637955825133146e+19,0.0,0.0,0.0,0.0,0.0
294055.25780502154,294.9999999999073,-25019640483785.402,-16260179284.068195,1.1901975878621714e+19,2.754000102978084e+19,1.563802515115906e+19,0.0,0.0,0.0,0.0,0.0
294105.25780502154,294.9999999999073,-24993229097095.004,-16260252049.740181,1.1900656069544598e+19,2.753875055528346e+19,1.5638094485739297e+19,0.0,0.0,0.0,0.0,0.0
294155.25780502154,294.9999999999073,-24966906887693.562,-16260324791.06002,1.1899337568047747e+19,2.7537501396894147e+19,1.5638163828846023e+19,0.0,0.0,0.0,0.0,0.0
294205.25780502154,294.9999999999073,-24940673282574.875,-16260397508.062433,1.189802036972866e+19,2.7536253550180164e+19,1.563823318045169e+19,0.0,0.0,0.0,0.0,0.0
294255.25780502154,294.9999999999073,-24914527714427.215,-16260470200.782068,1.1896704470212753e+19,2.753500701074247e+19,1.5638302540529201e+19,0.0,0.0,0.0,0.0,0.0
294305.25780502154,294.9999999999073,-24888469621554.93,-16260542869.253517,1.1895389865153331e+19,2.7533761774204862e+19,1.56383719090512e+19,0.0,0.0,0.0,0.0,0.0
294355.25780502154,294.9999999999073,-24862498447801.62,-16260615513.5113,1.1894076550231753e+19,2.7532517836222013e+19,1.5638441285990644e+19,0.0,0.0,0.0,0.0,0.0
294405.25780502154,294.9999999999073,-24836613642474.52,-16260688133.589853,1.189276452115677e+19,2.7531275192476705e+19,1.5638510671319992e+19,0.0,0.0,0.0,0.0,0.0
294455.25780502154,294.9999999999073,-24810814660270.266,-16260760729.523575,1.1891453773663947e+19,2.753003383867736e+19,1.5638580065013156e+19,0.0,0.0,0.0,0.0,0.0
294505.25780502154,294.9999999999073,-24785100961202.035,-16260833301.346775,1.189014430351597e+19,2.7528793770558607e+19,1.5638649467042642e+19,0.0,0.0,0.0,0.0,0.0
294555.25780502154,294.9999999999073,-24759472010527.824,-16260905849.093706,1.1888836106502072e+19,2.7527554983884567e+19,1.5638718877382222e+19,0.0,0.0,0.0,0.0,0.0
294605.25780502154,294.9999999999073,-24733927278680.06,-16260978372.798538,1.18875291784382e+19,2.752631747444291e+19,1.5638788296004897e+19,0.0,0.0,0.0,0.0,0.0
294655.25780502154,294.9999999999073,-24708466241196.47,-16261050872.495405,1.1886223515165989e+19,2.752508123804985e+19,1.563885772288406e+19,0.0,0.0,0.0,0.0,0.0
294705.25780502154,294.9999999999073,-24683088378651.96,-16261123348.21833,1.1884919112553073e+19,2.7523846270546956e+19,1.5638927157993816e+19,0.0,0.0,0.0,0.0,0.0
294755.25780502154,294.9999999999073,-24657793176591.96,-16261195800.00131,1.188361596649295e+19,2.7522612567800545e+19,1.563899660130687e+19,0.0,0.0,0.0,0.0,0.0
294805.25780502154,294.9999999999073,-24632580125466.543,-16261268227.878256,1.1882314072904507e+19,2.7521380125702824e+19,1.5639066052798015e+19,0.0,0.0,0.0,0.0,0.0
294855.25780502154,294.9999999999073,-24607448720566.004,-16261340631.883009,1.1881013427731096e+19,2.7520148940171678e+19,1.5639135512440527e+19,0.0,0.0,0.0,0.0,0.0
294905.25780502154,294.9999999999073,-24582398461957.363,-16261413012.049368,1.1879714026942015e+19,2.7518919007150006e+19,1.5639204980208513e+19,0.0,0.0,0.0,0.0,0.0
294955.25780502154,294.9999999999073,-24557428854421.895,-16261485368.411032,1.1878415866529757e+19,2.7517690322606084e+19,1.563927445607603e+19,0.0,0.0,0.0,0.0,0.0
295005.25780502154,294.9999999999073,-24532539407393.848,-16261557701.001661,1.1877118942512962e+19,2.7516462882529903e+19,1.5639343940016925e+19,0.0,0.0,0.0,0.0,0.0
295055.25780502154,294.9999999999073,-24507729634900.133,-16261630009.854826,1.187582325093338e+19,2.751523668293968e+19,1.5639413432005954e+19,0.0,0.0,0.0,0.0,0.0
295105.25780502154,294.9999999999073,-24482999055500.94,-16261702295.004063,1.1874528787857136e+19,2.7514011719874154e+19,1.5639482932016867e+19,0.0,0.0,0.0,0.0,0.0
295155.25780502154,294.9999999999073,-24458347192231.47,-16261774556.482828,1.1873235549374048e+19,2.7512787989398987e+19,1.5639552440024609e+19,0.0,0.0,0.0,0.0,0.0
295205.25780502154,294.9999999999073,-24433773572544.574,-16261846794.32449,1.1871943531597328e+19,2.7511565487600935e+19,1.5639621956003326e+19,0.0,0.0,0.0,0.0,0.0
295255.25780502154,294.9999999999073,-24409277728254.293,-16261919008.562378,1.187065273066338e+19,2.7510344210591547e+19,1.563969147992821e+19,0.0,0.0,0.0,0.0,0.0
295305.25780502154,294.9999999999073,-24384859195480.457,-16261991199.229769,1.1869363142731987e+19,2.750912415450533e+19,1.5639761011773209e+19,0.0,0.0,0.0,0.0,0.0
295355.25780502154,294.9999999999073,-24360517514593.992,-16262063366.359837,1.186807476398605e+19,2.7507905315499725e+19,1.5639830551513582e+19,0.0,0.0,0.0,0.0,0.0
295405.25780502154,294.9999999999073,-24336252230163.35,-16262135509.985716,1.1866787590630617e+19,2.7506687689754526e+19,1.5639900099123796e+19,0.0,0.0,0.0,0.0,0.0
295455.25780502154,294.9999999999073,-24312062890901.613,-16262207630.140476,1.186550161889342e+19,2.750547127347303e+19,1.563996965457983e+19,0.0,0.0,0.0,0.0,0.0
295505.25780502154,294.9999999999073,-24287949049614.59,-16262279726.85711,1.1864216845024543e+19,2.7504256062880694e+19,1.5640039217855676e+19,0.0,0.0,0.0,0.0,0.0
295555.25780502154,294.9999999999073,-24263910263149.625,-16262351800.16856,1.1862933265296472e+19,2.7503042054223446e+19,1.5640108788926984e+19,0.0,0.0,0.0,0.0,0.0
